QR Code Filename,Brand,Module Size,Luminosity,Team Member,Scanner ID,Trial Number,Outcome (T/F)
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),1,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),2,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),3,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),4,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),5,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),6,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),7,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),8,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),9,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),10,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),11,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),12,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),13,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),14,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),15,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),16,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),17,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),18,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),19,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),20,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),21,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),22,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),23,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),24,T
amavon-1-lum0.png,amavon,1,0,Aryan,QR & Barcode Scanner ( TeaCapps),25,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),1,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),2,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),3,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),4,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),5,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),6,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),7,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),8,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),9,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),10,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),11,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),12,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),13,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),14,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),15,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),16,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),17,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),18,F
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),19,F
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),20,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),21,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),22,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),23,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),24,T
amavon-1-lum1.png,amavon,1,1,Aryan,QR & Barcode Scanner ( TeaCapps),25,T
amavon-1-lum2.png,amavon,1,2,Aryan,QR & Barcode Scanner ( TeaCapps),1,T
